numero-do-processo,local,tipo-manifestacao,conduta,juizo,data-do-juizo,decisao,processo-administrativo-disciplinar,fase-do-processo,penalidade
23208.001128/2023-64,São João Evangelista/Bambuí,Denúncia,Inobservância de norma regulamentar,152.0,2023-04-24,Arquivamento,,,
23208.000747/2023-31,Ibirité,Representação,Manter conduta compatível com a Moralidade Administrativa,154.0,2023-07-10,Celebração de TAC,,,
23208.000436/2023-72,Ouro Branco,Denúncia,Falta de Urbanidade,156.0,2023-07-19,Arquivamento,,,
23208.000433/2023-39,Ouro Preto,Denúncia,Inobservância de norma regulamentar,158.0,2023-08-24,Arquivamento,,,
23208.002034/2023-11,Reitoria,Denúncia,Inobservância de norma regulamentar,159.0,2023-09-19,Arquivamento,,,
23208.003130/2023-78,Ouro Branco,Denúncia,Assédio Moral,160.0,2023-09-06,Arquivamento,,,
23208.001152/2023-01,Santa Luzia,Representação,Suposta Injúria Racial,161.0,2023-09-12,Arquivamento,,,
23208.003100/2023-61,Ouro Branco,Denúncia,Inobservância de norma regulamentar,163.0,2023-09-14,Arquivamento,,,
23208.001838/2023-94,Reitoria,Denúncia,Inobservância de norma regulamentar,164.0,2023-09-13,Arquivamento,,,
23208.001280/2023-47,Bambuí,Denúncia,atender com presteza e cumprir ordens superiores,165.0,2023-09-14,Celebração de TAC,,,
23208.000594/2023-22,Ouro Preto,Representação,Suposto Assédio Moral,166.0,2023-09-14,Abertura de PAD ,23208.003301/2023-69,Em andamento,
23208.001766/2023-85,Betim,Denúncia,Participar de gerência ou administração de sociedade privada,167.0,2023-09-15,Abertura de PAD ,23208.003319/2023-61,Em andamento,
23208.001793/2023-58,Reitoria,Ofício,Suposto Abandono de Cargo,168.0,2023-09-19,Celebração de TAC,,,
23208.000432/2023-94,Congonhas,Denúncia,Inobservância de norma regulamentar,169.0,2023-10-03,Arquivamento,,,
23208.001466/2023-04,Piumhi,Denúncia,Inobservância de norma regulamentar,170.0,2023-10-03,Arquivamento,,,
23208.001129/2023-17,Conselheiro Lafaiete,Denúncia,Suposto Racismo,173.0,2023-12-26,Arquivamento,,,
