numero-do-processo,local,tipo-manifestacao,conduta,juizo,data-do-juizo,decisao,processo-administrativo-disciplinar,fase-do-processo,penalidade
23208.000461/2022-75,Bambuí,Representação,Inobservância de norma regulamentar,107.0,2022-02-03,Celebração de TAC,,,
23208.000467/2022-42,Reitoria,Representação,Inobservância de norma regulamentar,110.0,2022-03-15,Arquivamento,,,
23208.000186/2022-90,São João Evangelista,Representação,Procedimento desidioso,111.0,2022-03-29,Abertura de PAD ,23208.001295/2022-24,Julgado,Demissão
23208.000877/2022-93,Reitoria,Representação,Preconceito racial,112.0,2022-04-07,Abertura de PAD , 23208.001476/2022-51,Revisão,
23208.001180/2022-30,Piumhi,Denúncia,Inobservância de norma regulamentar,114.0,2022-06-01,Encaminhado Comissão de Ética,,,
 23208.000247/2022-19,Ouro Preto,Denúncia,Inobservância de norma regulamentar,115.0,2022-06-07,Arquivamento,,,
23208.000463/2022-64,Bambuí,Representação,Inobservância de norma regulamentar,116.0,2022-06-08,Celebração de TAC,,,
23208.002156/2022-18,Itabirito,Denúncia,Inobservância de norma regulamentar,118.0,2022-07-06,Arquivamento,,,
23208.002661/2022-62,Ouro Preto,Representação,Inobservância de norma regulamentar,119.0,2022-07-11,Celebração de TAC,,,
23208.001527/2022-44,Bambuí,Denúncia,Suposto Assédio Moral,120.0,2022-07-14,Abertura de PAD ,23208.002810/2022-93,Julgado,Suspensão
23208.002212/2022-14,São João Evangelista,Denúncia,Suposto Assédio Sexual,121.0,2022-08-11,Celebração de TAC,,,
23208.000911/2022-20,Ouro Branco,Denúncia,Suposto Assédio Moral,122.0,2022-08-22,Arquivamento,,,
23208.001209/2022-83,Bambuí,Denúncia,Inobservância de norma regulamentar,123.0,2022-09-06,Arquivamento,,,
23208.001383/2022-26,Ipatinga,Denúncia,Suposto Assédio Sexual,124.0,2022-10-05,Abertura de PAD ,23208.004014/2022-95,Julgado,Suspensão
23208.001498/2022-11,Piumhi,Denúncia,Inobservância de norma regulamentar,125.0,2022-10-05,Arquivamento,,,
23208.002155/2022-73,Govenador Valadares,Denúncia,Inobservância de norma regulamentar,126.0,2022-10-10,Celebração de TAC,,,
23208.001854/2022-04,Sabará,Representação,Falta de dedicação e presteza nas atribuições do cargo,127.0,2022-10-14,Celebração de TAC,,,
23208.003745/2022-13,Bambuí,Representação,Abandono de Cargo ,128.0,2022-10-21,Abertura de PAD ,23208.004236/2022-16,Julgado,Demissão
23208.001181/2022-84,Bambuí,Denúncia,Falta de dedicação e presteza nas atribuições do cargo,129.0,2022-10-24,Arquivamento,,,
23208.004241/2022-11,Govenador Valadares,CGU,Inobservância de norma regulamentar,130.0,2022-11-09,Arquivamento,,,
23208.004240/2022-76,Bambuí,CGU,Inobservância de norma regulamentar,131.0,2022-11-09,Arquivamento,,,
23208.004242/2022-65,Reitoria,CGU,Falta de urbanidade e manifestação de desapreço no ambiente de trabalho,132.0,2022-11-21,Arquivamento,,,
23208.001371/2022-00,São João Evangelista,Denúncia,Inobservância de norma regulamentar,133.0,2022-11-22,Arquviamento,,,
23208.004092/2022-90,Reitoria,Representação,Inobservância de norma regulamentar,134.0,2022-11-22,Arquivamento,,,
