numero-do-processo,local,tipo-manifestacao,conduta,juizo,data-do-juizo,decisao,processo-administrativo-disciplinar,fase-do-processo,penalidade
23208.000713/2019-61,Congonhas,Representação,Descumprimento de normas regulamentares,32,2019-04-29 00:00:00,Arquivamento.,,,
23208.000953/2019-65,Bambuí,Denúncia,Suposto Assédio sexual ,34,13/03/2019,Abertura de PAD ,23208.000953/2019-65,Concluído,Demissão
23208.001896/2019-31,Ouro Preto,Representação,Inobservância de Norma Regulamentar,37,22/04/2019,Abertura de PAD ,23208.001896/2019-31,Concluído,Advertência
23208.001480/2019-13,Congonhas,Representação,Inobservância de Norma Regulamentar,38,2019-06-03 00:00:00,Abertura de PAD ,23208.002511/2019-53,Concluído,Arquivado
23208.001498/2019-15,Ouro Preto,Representação,Suporto Assédio sexual ,39,25/04/2019,Arquivamento.,,,
23208.001573/2019-48,Arcos,Representação,Falta de Urbanidade,40,25/04/2019,Arquivamento.,,,
23208.001973/2019-53,Reitoria,Denúncia,Inobservância de Norma Regulamentar,42,16/05/2019,Arquivamento,,,
23208.002017/2019-99,Ouro Preto,Representação,Falta de Urbanidade,43,2019-03-06 00:00:00,Arquivamento,,,
23123.002124/2019-57,Itabirito,Denúncia,Má conduta de servidor,44,19/06/2019,Comissão de Ética,,,
23208.002034/2019-26,Formiga,Representação,Falta de Urbanidade,45,19/06/2019,Abertura de PAD ,23208.002702/2019-15,Concluído,TAC
23208.002295/2019-46,Arcos,Representação,Inobservância de Norma Regulamentar,46,19/06/2019,Arquivamento,,,
23208.002577/2019-43,Reitoria,Denúncia,Inobservância de Norma Regulamentar,47,25/06/2019,Arquivamento,,,
23208.002650/2019-87,Arcos,Representação,Falta de Urbanidade,48,26/06/2019,Comissão de Ética,,,
23208.002696/2019-04,Governador Valadares ,Denúncia,Falta de Urbanidade,49,2019-09-07 00:00:00,Apensado ao processo 23208.002940/2019-21,,,
23208.002940/2019-21,Governador Valadares,Representação,Exercer com zelo e dedicação as atribuições do carg,50,15/07/2019,Abertura de PAD ,23208.002940/2019-21,Concluído,Advertência
23714.000565/2019-64,Sabará,Representação,Deixar de cumprir as ordens superiores,51,15/07/2019,Abertura de PAD ,23714.000565/2019-64,Concluído,Advertência
23208.001450/2019-15,Bambuí,Denúncia,Suporto Assédio sexual,52,15/07/2019,Abertura de PAD ,23208.003342/2019-79,Concluído,Suspensão
23208.002677/2019-70,Ouro Preto,Representação,Abandono de cargo,53,16/07/2019,Abertura de PAD ,23208.002677/2019-70,Concluído,Arquivado
23208.002753/2019-47,Betim,Representação,Abandono de cargo,54,14/12/2018,Abertura de PAD ,23208.002753/2019-47,Concluído,Demissão
23123.001267/2019-41,Ouro Preto,Denúncia,Inobservância de Norma Regulamentar,55,13/08/2019,Arquivamento,,,
23208.002529/2019-55,Ouro Preto,Denúncia,Inobservância de Norma Regulamentar,56,21/08/2019,Arquivamento,,,
23208.002967/2019-13,Bambuí,Representação,Má conduta de servidor,57,14/08/2019,Comissão de Ética,,,
23208.003424/2019-13,Ouro Preto,Outro Processo,Inobservância de Norma Regulamentar,58,2019-05-09 00:00:00,Arquivamento,,,
23208.003521/2019-14,Ouro Preto,Denúncia,Inobservância de Norma Regulamentar,59,13/09/2019,Arquivamento,,,
23123.004395/2018-66,Reitoria ,Denúncia,Suposto desaparecimento de tablet do patrimônio.,60,13/09/2019,Celebração de TAC,,,
23208.003026/2019-05,Ouro Preto,Denúncia,Recebimento Indevido de benefício,61,24/09/2019,Arquivamento.,,,
23716.000996/2019-19,Governador valadares,Representação,Inobservância de Norma Regulamentar,62,2019-07-10 00:00:00,Abertura de PAD ,23208.002940/2019-21,Concluído,Advertência
23208.003770/2019-00,Bambuí,Denúncia,Suposto caso de racismo ,63,15/10/2019,Arquivamento,,,
23208.003717/2019-09,Ouro Preto,Denúncia,Inobservância de Norma Regulamentar,64,16/10/2019,Arquivamento,,,
23208.003547/2019-54,Ouro Preto,Denúncia,Inobservância de Norma Regulamentar,65,2019-05-11 00:00:00,Arquivamento,,,
23208.003667/2019-51,Ouro Branco,Representação,Inobservância de Norma Regulamentar,66,2019-01-11 00:00:00,Arquivamento,,,
23208.003849/2019-22,Ponte Nova,Representação,Inobservância de Norma Regulamentar,67,2019-06-11 00:00:00,Arquivamento,,,
23208.003473/2019-56,Santa Luzia,Representação,Inobservância de Norma Regulamentar,68,20/11/2019,Arquivamento,,,
23208.004516/2019-11,Betim,Representação,Suposta difamação ,69,14/11/2019,Abertura de PAD ,23208.004516/2019-11,Concluído,Advertência
23208.004710/2019-04,Ouro Preto,Denúncia,Suposta difamação,70,2020-06-02 00:00:00,Abertura de PAD ,23208.000461/2020-11,Concluído,Advertência
23208.005115/2019-88,Piumhi,Denúncia,Falta de Urbanidade,71,22/07/2020,Arquivamento,,,
23208.004915/2019-81,Ouro Branco,Representação,Inobservância de Norma Regulamentar,72,2020-12-02 00:00:00,Abertura de PAD ,23208.000590/2020-00,Concluído,TAC
