numero-do-processo,local,tipo-manifestacao,conduta,juizo,data-do-juizo,decisao,processo-administrativo-disciplinar,fase-do-processo,penalidade
23208.000161/2021-13,Sabará,Representação,Suposta conduta desrespeitosa do mesmo em relação a outro servidor,90,2021-06-01,,,,
23208.000678/2021-02,Reitoria,,Supostas irregularidades e impropriedades ocorridas no procedimento eletrônico de eleição dos membros do CONSUP,91,2021-06-24,,,,
23208.000995/2021-11,Santa Luzia,Denúncia,Suposto descumprimento de atividade docente.,92,2021-07-02,,,,
23208.001780/2021-17,Reitoria,Representação,Não retorno ao trabalho e não realização da reavaliação ao final da licença,93,2021-07-12,,,,
23208.000395/2021-52,Ouro Preto,Denúncia,Suposto descumprimento de normas regulamentares,94,2021-08-13,,,,
23208.000668/2021-69,Ouro Preto,Denúncia,Suposto descumprimento de normas regulamentares,95,2021-09-22,,,,
23208.003888/2020-63,Piumhi,Denúncia,Suposto descumprimento de normas regulamentares,96,2021-09-22,,,,
23208.003303/2021-96,Ouro Branco,Representação,Suposto abandono de cargo,97,2021-09-29,,,,
23208.000691/2021-53 ,São João Evangelista,Denúncia,Irregularidades de docentes na omissão de lecionar aulas,98,2021-11-19,,,,
23208.002336/2021-19,Ouro Preto,Denúncia,Suposto descumprimento das normas regulamentares.,99,2021-11-19,,,,
23208.000368/2021-80,Ouro Preto ,Denúncia,Contratação irregular de professor visitante,100,2021-11-19,,,,
23208.002330/2021-41,Ribeirão das Neves,Denúncia,Falta de Ética e profissionalismo,101,2021-11-22,,,,
23208.002806/2021-44,Formiga,Denúncia,Discente alega ter sofrido injustamente uma condenação por Infração,102,2021-12-07,,,,
23208.001363/2021-74,Sabará,Denúncia,Curso oferecido para apenas uma parcela da população,103,2021-12-07,,,,
23208.002666/2021-12,Arcos,Denúncia,Uso irregular de veículo oficial,104,2021-12-21,,,,
23208.003920/2021-91,Bambuí,Denúncia,Suposto Assédio Sexual,105,2022-01-21,,,,
23208.002596/2021-94,Reitoria,Representação,Falta de presteza no cumprimento de atividades,106,2022-01-21,,,,
23208.000461/2022-75,Bambuí,Representação,Não apresentação do Comprovante de Vacinação da Covid 19,107,2022-02-03,,,,
23208.003281/2021-64,Santa Luzia,Denúncia,Suposto descumprimento de normas regulamentares,108,2022-02-11,,,,
23208.002283/2021-36,Piumhi,Denúncia,Suposto desvio de finalidade no emprego dos recursos públicos para capacitação,109,2022-03-15,,,,
23208.000467/2022-42,Reitoria,Representação,Suposta violação ao disposto na Portaria nº 846. Apresentão do cartão de vacina,110,2022-03-15,,,,
23208.000186/2022-90,São João Evangelista,Representação,Desempenho insatisfatório das atribuições do cargo,111,2022-03-29,,,,
23208.000877/2022-93,Reitoria,Representação,Ato de preconceito racial,112,2022-04-07,,,,
23208.003990/2021-40,Reitoria,Denúncia,Suposta acumulação de cargos de forma indevida,113,2022-04-27,,,,
23208.001180/2022-30,Piumhi,Denúncia,Suposto descumprimento de normas regulamentares,114,2022-06-01,,,,
 23208.000247/2022-19,Ouro Preto,Denúncia,Irregularidade de carga horário em curso,115,2022-06-07,,,,
23208.000463/2022-64,Bambuí,´Representação,Não apresentação do Comprovante de Vacinação da Covid 19,116,2022-06-08,,,,
23208.003918/2021-12,Ouro Branco,Denúncia,Suposta conduta irregular no Ensino Remoto,117,2022-06-15,,,,
